lat lon
351.2461 81.0815
351.1791 81.0605
350.9896 81.0260
350.8846 80.9848
350.7917 80.9649
350.6459 80.9458
350.5579 80.9200
350.4447 80.9004
350.3570 80.8913
350.3024 80.8773
350.1748 80.8577
350.1427 80.8547
350.1228 80.8498
350.0010 80.8318
349.9957 80.8310
349.9234 80.8047
349.8934 80.7985
349.8847 80.7911
349.8008 80.7627
349.7130 80.7456
349.6774 80.7249
349.5887 80.7001
349.4049 80.6695
349.2967 80.6314
349.1982 80.6118
348.8762 80.5726
348.7472 80.5407
348.6591 80.5330
348.5647 80.5149
348.4516 80.5018
348.3304 80.4941
348.2744 80.4805
348.2309 80.4577
348.1961 80.4522
348.1087 80.4121
348.0153 80.3893
347.7855 80.3554
347.6899 80.3298
347.6270 80.3239
347.4866 80.2899
347.3599 80.2714
347.0813 80.2476
347.0151 80.2369
347.0102 80.2327
346.9162 80.1993
346.9004 80.1638
346.8430 80.1356
346.7428 80.1096
346.7087 80.0800
346.6296 80.0519
346.5286 80.0312
346.4837 80.0059
346.3861 79.9784
346.2848 79.9613
346.2321 79.9390
346.1192 79.9127
346.0157 79.8980
345.9554 79.8776
345.8301 79.8530
345.7210 79.8400
345.6512 79.8206
345.5165 79.7981
345.4764 79.7941
345.4690 79.7840
345.4117 79.7591
345.3186 79.7367
345.2830 79.7104
345.1983 79.6821
345.1320 79.6691
345.1034 79.6527
344.9982 79.6223
344.9483 79.6137
344.9252 79.6022
344.8064 79.5709
344.7664 79.5646
344.7469 79.5558
344.6794 79.5392
344.6663 79.5143
344.7162 79.4789
344.6839 79.4577
344.6850 79.4558
344.6746 79.4515
344.6722 79.4499
344.6849 79.4068
344.6572 79.3826
344.5823 79.3549
344.5719 79.3349
344.4463 79.3015
344.3371 79.2297
344.2661 79.2071
344.1219 79.1799
344.1262 79.1732
344.1017 79.1402
344.1142 79.1340
344.0790 79.0948
344.1127 79.0352
344.0926 79.0109
343.9636 78.9543
343.9359 78.9169
343.9142 78.9114
343.8850 78.8789
343.8313 78.8562
343.6572 78.8145
343.5567 78.7656
343.4762 78.7442
343.3310 78.7209
343.2388 78.6894
343.1376 78.6690
343.0369 78.6569
342.9699 78.6379
342.9268 78.6306
342.9392 78.6214
342.9798 78.5918
342.9798 78.5913
342.9811 78.5908
343.0228 78.5601
343.0228 78.5579
343.0282 78.5560
343.0683 78.5252
343.0681 78.5212
343.0775 78.5178
343.1148 78.4870
343.1141 78.4812
343.1272 78.4762
343.1606 78.4455
343.1587 78.4377
