lat lon r
-33.4711 1.4938 0.0011
-34.9587 1.4938 -0.0011
-36.4463 1.4938 0.0010
-37.9339 1.4938 -0.0010
-39.4215 1.4938 0.0010
-40.9091 1.4938 -0.0009
-42.3967 1.4938 0.0009
-43.8843 1.4938 -0.0009
-45.3719 1.4938 0.0008
-46.8595 1.4938 -0.0008
-48.3471 1.4938 0.0007
-49.8347 1.4938 -0.0007
-51.3223 1.4938 0.0007
-52.8099 1.4938 -0.0006
-54.2975 1.4938 0.0006
-55.7851 1.4938 -0.0005
-57.2727 1.4938 0.0004
-58.7603 1.4938 -0.0004
-60.2479 1.4938 0.0003
-61.7355 1.4938 -0.0003
-63.2231 1.4938 0.0002
-64.7107 1.4938 -0.0002
-66.1983 1.4938 0.0001
-67.6860 1.4938 -0.0000
-69.1736 1.4938 -0.0000
-70.6612 1.4938 0.0001
-72.1488 1.4938 -0.0002
-73.6364 1.4938 0.0002
-75.1240 1.4938 -0.0003
-76.6116 1.4938 0.0003
-78.0992 1.4938 -0.0004
-79.5868 1.4938 0.0004
-81.0744 1.4938 -0.0004
-82.5620 1.4938 0.0004
-84.0496 1.4938 -0.0004
-85.5372 1.4938 0.0004
-87.0248 1.4938 -0.0003
-88.5124 1.4938 0.0003
-90.0000 1.4938 -0.0001
90.0000 2.9876 0.0001
88.5124 2.9876 -0.0006
87.0248 2.9876 0.0005
85.5372 2.9876 0.0001
84.0496 2.9876 -0.0010
82.5620 2.9876 0.0024
81.0744 2.9876 -0.0037
79.5868 2.9876 0.0044
78.0992 2.9876 -0.0031
76.6116 2.9876 -0.0010
75.1240 2.9876 0.0064
73.6364 2.9876 -0.0051
72.1488 2.9876 -0.0061
70.6612 2.9876 -0.0009
69.1736 2.9876 0.0049
67.6860 2.9876 0.0117
66.1983 2.9876 0.0123
64.7107 2.9876 -0.0019
63.2231 2.9876 -0.0217
61.7355 2.9876 -0.0091
60.2479 2.9876 0.0158
58.7603 2.9876 -0.0049
57.2727 2.9876 -0.0034
55.7851 2.9876 0.0062
54.2975 2.9876 -0.0063
52.8099 2.9876 0.0056
51.3223 2.9876 -0.0046
49.8347 2.9876 0.0036
48.3471 2.9876 -0.0025
46.8595 2.9876 0.0014
45.3719 2.9876 -0.0005
43.8843 2.9876 -0.0004
42.3967 2.9876 0.0011
40.9091 2.9876 -0.0017
39.4215 2.9876 0.0022
37.9339 2.9876 -0.0025
36.4463 2.9876 0.0028
34.9587 2.9876 -0.0029
33.4711 2.9876 0.0030
31.9835 2.9876 -0.0030
30.4959 2.9876 0.0029
29.0083 2.9876 -0.0029
27.5207 2.9876 0.0028
26.0331 2.9876 -0.0026
24.5455 2.9876 0.0025
23.0579 2.9876 -0.0023
